date,price,open,high,low,vol,change
04/15/18,1714000,1675000,1726000,1668000,0.72K,2.33%
04/16/18,1715000,1714000,1734000,1665000,1.24K,0.06%
04/17/18,1853000,1715000,1933000,1715000,3.19K,8.05%
04/18/18,1935000,1853000,1948000,1844000,1.43K,4.43%
04/19/18,2041000,1935000,2064000,1913000,2.28K,5.48%
04/20/18,2146000,2041000,2148000,2012000,1.74K,5.14%
04/21/18,2040000,2146000,2168000,1920000,1.36K,-4.94%
04/22/18,2051000,2040000,2086000,2001000,0.74K,0.54%
04/23/18,2118000,2051000,2133000,2020000,1.37K,3.27%
04/24/18,2272000,2118000,2275000,2110000,2.47K,7.27%
04/25/18,2039000,2273000,2274000,1990000,1.48K,-10.26%
04/26/18,2139000,2039000,2139000,2000000,1.16K,4.90%
04/27/18,2031000,2139000,2139000,2028000,0.90K,-5.05%
04/28/18,2076000,2031000,2096000,2030000,0.81K,2.22%
04/29/18,2099000,2076000,2115000,2046000,0.97K,1.11%
04/30/18,2081000,2099000,2100000,2053000,0.67K,-0.86%
05/01/18,2044000,2080000,2080000,2004000,0.92K,-1.78%
05/02/18,2090000,2044000,2097000,2029000,1.09K,2.25%
05/03/18,2220000,2080000,2270000,2073000,3.23K,6.22%
05/04/18,2347000,2220000,2365000,2160000,2.06K,5.72%
05/05/18,2470000,2347000,2558000,2325000,4.09K,5.24%
05/06/18,2418000,2470000,2557000,2350000,1.84K,-2.11%
05/07/18,2328000,2418000,2427000,2246000,2.14K,-3.72%
05/08/18,2295000,2328000,2396000,2257000,0.69K,-1.42%
05/09/18,2244000,2295000,2295000,2190000,0.79K,-2.22%
05/10/18,2144000,2244000,2301000,2144000,1.66K,-4.46%
05/11/18,1973000,2143000,2143000,1940000,1.32K,-7.98%
05/12/18,2037000,1973000,2078000,1891000,1.33K,3.24%
05/13/18,2080000,2037000,2128000,1985000,1.59K,2.11%
05/14/18,2095000,2080000,2173000,1961000,1.69K,0.72%
05/15/18,2021000,2100000,2135000,2000000,0.90K,-3.53%
05/16/18,1997000,2021000,2035000,1950000,0.76K,-1.19%
05/17/18,1909000,2000000,2030000,1895000,0.63K,-4.41%
05/18/18,1962000,1909000,1974000,1850000,0.73K,2.78%
05/19/18,1923000,1962000,1971000,1910000,0.72K,-1.99%
05/20/18,1980000,1923000,1986000,1914000,1.12K,2.96%
05/21/18,1939000,1980000,1984000,1920000,0.64K,-2.07%
05/22/18,1875000,1941000,1950000,1859000,1.14K,-3.30%
05/23/18,1750000,1875000,1891000,1704000,1.01K,-6.67%
05/24/18,1755000,1750000,1797000,1690000,0.86K,0.29%
05/25/18,1710000,1755000,1785000,1699000,0.71K,-2.56%
05/26/18,1703000,1709000,1750000,1685000,0.40K,-0.41%
05/27/18,1691000,1703000,1726000,1688000,0.32K,-0.70%
05/28/18,1577000,1691000,1705000,1570000,1.12K,-6.74%
05/29/18,1696000,1577000,1720000,1565000,0.74K,7.55%
05/30/18,1654000,1689000,1740000,1603000,0.97K,-2.48%
05/31/18,1640000,1654000,1700000,1610000,2.13K,-0.85%
06/01/18,1691000,1640000,1692000,1637000,0.36K,3.11%
06/02/18,1708000,1691000,1730000,1664000,0.77K,1.01%
06/03/18,1737000,1708000,1780000,1692000,0.42K,1.70%
06/04/18,1696000,1737000,1756000,1673000,1.04K,-2.36%
06/05/18,1720000,1696000,1730000,1654000,0.61K,1.42%
06/06/18,1688000,1706000,1720000,1666000,0.31K,-1.86%
06/07/18,1701000,1688000,1723000,1670000,0.64K,0.77%
06/08/18,1689000,1695000,1705000,1651000,0.65K,-0.71%
06/09/18,1685000,1689000,1696000,1672000,0.27K,-0.24%
06/10/18,1574000,1685000,1685000,1546000,1.69K,-6.59%
06/11/18,1541000,1574000,1609000,1504000,0.46K,-2.10%
06/12/18,1441000,1541000,1571000,1416000,1.15K,-6.49%
06/13/18,1349000,1441000,1454000,1310000,1.28K,-6.38%
06/14/18,1461000,1349000,1493000,1347000,0.58K,8.30%
06/15/18,1402000,1461000,1472000,1398000,0.46K,-4.04%
06/16/18,1406000,1402000,1418000,1376000,0.13K,0.29%
06/17/18,1387000,1406000,1422000,1384000,0.17K,-1.35%
06/18/18,1416000,1386000,1431000,1363000,0.22K,2.09%
06/19/18,1404000,1416000,1440000,1390000,0.37K,-0.85%
06/20/18,1397000,1404000,1415000,1364000,0.32K,-0.50%
06/21/18,1389000,1397000,1419000,1375000,0.21K,-0.57%
06/22/18,1226000,1390000,1397000,1174000,1.46K,-11.74%
06/23/18,1193000,1226000,1249000,1176000,0.34K,-2.69%
06/24/18,1153000,1193000,1202000,939000,1.25K,-3.35%
06/25/18,1187000,1153000,1216000,1125000,0.64K,2.95%
06/26/18,1096000,1187000,1194000,1096000,0.77K,-7.67%
06/27/18,1163000,1100000,1176000,1088000,0.55K,6.11%
06/28/18,1088000,1163000,1180000,1088000,0.80K,-6.45%
06/29/18,1140000,1089000,1171000,1067000,0.44K,4.78%
06/30/18,1157000,1140000,1210000,1130000,0.73K,1.49%
07/01/18,1142000,1161000,1168000,1116000,0.67K,-1.30%
07/02/18,1223000,1142000,1240000,1127000,1.16K,7.09%
07/03/18,1237000,1223000,1302000,1221000,1.20K,1.14%
07/04/18,1260000,1237000,1283000,1222000,0.54K,1.86%
07/05/18,1219000,1260000,1264000,1206000,0.44K,-3.25%
07/06/18,1209000,1219000,1234000,1192000,0.43K,-0.82%
07/07/18,1224000,1217000,1231000,1168000,0.71K,1.24%
07/08/18,1194000,1224000,1231000,1193000,0.65K,-2.45%
07/09/18,1166000,1194000,1215000,1165000,0.51K,-2.35%
07/10/18,1109000,1166000,1174000,1102000,0.83K,-4.89%
07/11/18,1149000,1109000,1200000,1105000,1.28K,3.61%
07/12/18,1111000,1149000,1157000,1091000,0.68K,-3.31%
07/13/18,1114000,1111000,1137000,1101000,0.76K,0.27%
07/14/18,1111000,1114000,1125000,1101000,0.41K,-0.27%
07/15/18,1132000,1111000,1151000,1103000,0.35K,1.89%
07/16/18,1199000,1132000,1213000,1116000,1.53K,5.92%
07/17/18,1242000,1199000,1264000,1162000,0.73K,3.59%
07/18/18,1210000,1243000,1310000,1200000,1.40K,-2.58%
07/19/18,1205000,1210000,1243000,1179000,0.61K,-0.41%
07/20/18,1199000,1215000,1236000,1191000,0.51K,-0.50%
07/21/18,1213000,1207000,1223000,1175000,0.29K,1.17%
07/22/18,1206000,1213000,1225000,1195000,0.55K,-0.58%
07/23/18,1207000,1206000,1249000,1196000,0.69K,0.08%
07/24/18,1306000,1207000,1306000,1188000,1.21K,8.20%
07/25/18,1257000,1306000,1310000,1231000,0.86K,-3.75%
07/26/18,1213000,1257000,1267000,1210000,0.30K,-3.50%
07/27/18,1218000,1213000,1247000,1195000,0.50K,0.41%
07/28/18,1210000,1218000,1230000,1198000,0.25K,-0.66%
07/29/18,1216000,1210000,1231000,1208000,0.23K,0.50%
07/30/18,1197000,1220000,1226000,1170000,0.46K,-1.56%
07/31/18,1163000,1197000,1199000,1120000,0.52K,-2.84%
08/01/18,1134000,1163000,1167000,1121000,0.24K,-2.49%
08/02/18,1131000,1134000,1153000,1111000,0.29K,-0.26%
08/03/18,1139000,1131000,1139000,1095000,0.60K,0.71%
08/04/18,1071000,1139000,1144000,1062000,0.30K,-5.97%
08/05/18,1093000,1071000,1097000,1055000,0.28K,2.05%
08/06/18,1081000,1093000,1135000,1067000,0.31K,-1.10%
08/07/18,997000,1081000,1100000,990000,0.58K,-7.77%
08/08/18,909000,997000,1003000,900000,0.74K,-8.83%
08/09/18,932000,909000,951000,892000,0.49K,2.53%
08/10/18,878000,932000,934000,870000,0.65K,-5.79%
08/11/18,859000,878000,881000,814000,0.56K,-2.16%
08/12/18,881000,859000,900000,846000,0.44K,2.56%
08/13/18,848000,881000,900000,835000,0.43K,-3.75%
08/14/18,803000,848000,849000,733000,0.56K,-5.31%
08/15/18,792000,803000,859000,789000,0.59K,-1.37%
08/16/18,807000,793000,838000,793000,0.40K,1.89%
08/17/18,883000,807000,891000,807000,0.56K,9.42%
08/18/18,833000,885000,900000,810000,0.45K,-5.66%
08/19/18,845000,833000,863000,819000,0.31K,1.44%
08/20/18,797000,845000,851000,790000,0.54K,-5.68%
08/21/18,829000,797000,829000,796000,0.41K,4.02%
08/22/18,816000,821000,855000,804000,0.57K,-1.57%
08/23/18,840000,816000,847000,810000,0.62K,2.94%
08/24/18,833000,841000,850000,813000,0.53K,-0.83%
08/25/18,836000,833000,850000,832000,0.26K,0.36%
08/26/18,828000,835000,841000,818000,0.17K,-0.96%
08/27/18,881000,828000,882000,817000,0.61K,6.40%
08/28/18,915000,881000,918000,861000,0.84K,3.86%
08/29/18,898000,915000,918000,878000,0.61K,-1.86%
08/30/18,875000,898000,898000,860000,0.40K,-2.56%
08/31/18,892000,875000,919000,871000,0.56K,1.94%
09/01/18,964000,892000,981000,892000,0.77K,8.07%
09/02/18,958000,964000,972000,930000,0.44K,-0.62%
09/03/18,961000,958000,968000,938000,0.26K,0.31%
09/04/18,1007000,961000,1025000,959000,0.78K,4.79%
09/05/18,875000,1007000,1010000,875000,1.48K,-13.11%
09/06/18,865000,875000,875000,830000,1.16K,-1.14%
09/07/18,847000,865000,879000,838000,0.75K,-2.08%
09/08/18,813000,847000,872000,797000,0.59K,-4.01%
09/09/18,832000,814000,852000,800000,0.49K,2.34%
09/10/18,826000,832000,852000,810000,0.50K,-0.72%
09/11/18,785000,826000,830000,770000,0.44K,-4.96%
09/12/18,776000,785000,792000,716000,0.52K,-1.15%
09/13/18,809000,776000,824000,776000,0.86K,4.25%
09/14/18,830000,809000,873000,789000,1.39K,2.60%
09/15/18,850000,830000,867000,830000,0.91K,2.41%
09/16/18,843000,850000,850000,815000,0.44K,-0.82%
09/17/18,797000,841000,858000,780000,0.90K,-5.46%
09/18/18,814000,797000,827000,764000,0.88K,2.13%
09/19/18,808000,814000,822000,785000,0.60K,-0.74%
09/20/18,833000,809000,842000,794000,0.94K,3.09%
09/21/18,878000,837000,909000,821000,1.81K,5.40%
09/22/18,865000,878000,896000,833000,1.18K,-1.48%
09/23/18,880000,865000,910000,855000,1.65K,1.73%
09/24/18,856000,880000,887000,835000,0.99K,-2.73%
09/25/18,858000,856000,868000,825000,0.68K,0.23%
09/26/18,850000,858000,881000,840000,0.87K,-0.93%
09/27/18,924000,850000,958000,846000,3.11K,8.71%
09/28/18,931000,924000,937000,924000,3.18K,0.76%
09/29/18,913000,931000,931000,854000,0.92K,-1.93%
09/30/18,906000,913000,926000,899000,1.03K,-0.77%
10/01/18,900000,906000,923000,898000,1.01K,-0.66%
10/02/18,905000,900000,929000,900000,1.34K,0.56%
10/03/18,870000,905000,906000,865000,1.14K,-3.87%
10/04/18,881000,870000,896000,870000,0.75K,1.26%
10/05/18,887000,881000,893000,875000,1.62K,0.68%
10/06/18,879000,887000,889000,866000,0.76K,-0.90%
10/07/18,882000,879000,891000,870000,1.02K,0.34%
10/08/18,897000,882000,903000,874000,1.55K,1.70%
10/09/18,890000,899000,900000,882000,0.74K,-0.78%
10/10/18,878000,890000,891000,869000,0.84K,-1.35%
10/11/18,791000,878000,881000,791000,2.03K,-9.91%
10/12/18,838000,791000,845000,786000,1.98K,5.94%
10/13/18,825000,838000,848000,820000,1.05K,-1.55%
10/14/18,800000,825000,826000,800000,0.65K,-3.03%
10/15/18,817000,800000,848000,795000,1.95K,2.13%
10/16/18,802000,817000,826000,798000,1.11K,-1.84%
10/17/18,802000,802000,809000,790000,1.16K,0.00%
10/18/18,787000,802000,803000,780000,0.89K,-1.87%
10/19/18,801000,787000,809000,781000,0.70K,1.78%
10/20/18,801000,802000,804000,791000,0.42K,0.00%
10/21/18,795000,801000,810000,792000,0.43K,-0.75%
10/22/18,791000,795000,799000,783000,0.42K,-0.50%
10/23/18,789000,791000,796000,782000,0.54K,-0.25%
10/24/18,787000,789000,793000,785000,0.25K,-0.25%
10/25/18,789000,788000,791000,780000,0.42K,0.25%
10/26/18,787000,789000,793000,781000,0.29K,-0.25%
10/27/18,784000,787000,788000,781000,0.38K,-0.38%
10/28/18,778000,784000,787000,778000,0.19K,-0.77%
